date,dji,djit
03JUN1959,637.39,
04JUN1959,630.54,
05JUN1959,629.98,
08JUN1959,621.62,
09JUN1959,617.62,
10JUN1959,627.17,
11JUN1959,627.49,
12JUN1959,627.42,
15JUN1959,624.59,
16JUN1959,621.4,
17JUN1959,628.05,
18JUN1959,629.41,
19JUN1959,629.76,
22JUN1959,631.71,
23JUN1959,630.73,
24JUN1959,634.27,
25JUN1959,637.23,
26JUN1959,639.25,
29JUN1959,643.06,
30JUN1959,643.6,
01JUL1959,650.88,
02JUL1959,654.76,
06JUL1959,660.09,
07JUL1959,663.21,
08JUL1959,663.81,
09JUL1959,663.09,
10JUL1959,663.56,
13JUL1959,657.35,
14JUL1959,657.7,
15JUL1959,660.57,
16JUL1959,658.29,
17JUL1959,657.13,
20JUL1959,654.54,
21JUL1959,661.48,
22JUL1959,664.38,
23JUL1959,664.63,
24JUL1959,663.72,
27JUL1959,669.08,
28JUL1959,672.04,
29JUL1959,673.18,
30JUL1959,673.37,
31JUL1959,674.88,
03AUG1959,678.1,
04AUG1959,676.3,
05AUG1959,672.33,
06AUG1959,671.98,
07AUG1959,668.57,
10AUG1959,653.79,
11AUG1959,658.07,
12AUG1959,655.14,
13AUG1959,655.43,
14AUG1959,658.74,
17AUG1959,658.42,
18AUG1959,650.79,
19AUG1959,646.53,
20AUG1959,655.02,
21AUG1959,655.39,
24AUG1959,653.22,
25AUG1959,655.96,
26AUG1959,657.57,
27AUG1959,663.34,
28AUG1959,663.06,
31AUG1959,664.41,
01SEP1959,655.9,
02SEP1959,655.8,
03SEP1959,645.9,
04SEP1959,652.18,
08SEP1959,642.69,
09SEP1959,637.67,
10SEP1959,633.38,
11SEP1959,637.36,
14SEP1959,633.79,
15SEP1959,630.8,
16SEP1959,632.41,
17SEP1959,629,
18SEP1959,625.78,
21SEP1959,618.15,
22SEP1959,616.45,
23SEP1959,624.02,
24SEP1959,632.85,
25SEP1959,632.59,
28SEP1959,636.47,
29SEP1959,640.1,
30SEP1959,631.68,
01OCT1959,633.6,
02OCT1959,636.57,
05OCT1959,637.01,
06OCT1959,636.06,
07OCT1959,635.37,
08OCT1959,633.04,
09OCT1959,636.98,
12OCT1959,638.55,
13OCT1959,637.83,
14OCT1959,634.27,
15OCT1959,637.48,
16OCT1959,643.22,
19OCT1959,639.66,
20OCT1959,635.37,
21OCT1959,632.69,
22OCT1959,625.59,
23OCT1959,633.07,
26OCT1959,637.61,
27OCT1959,642.18,
28OCT1959,643.6,
29OCT1959,645.11,
30OCT1959,646.6,
02NOV1959,645.46,
04NOV1959,645.74,
05NOV1959,647.57,
06NOV1959,650.92,
09NOV1959,650.92,
10NOV1959,648.14,
11NOV1959,647.32,
12NOV1959,644.26,
13NOV1959,641.71,
16NOV1959,634.46,
17NOV1959,635.62,
18NOV1959,641.99,
19NOV1959,643.32,
20NOV1959,645.46,
23NOV1959,646.75,
24NOV1959,649.69,
25NOV1959,651.1,
27NOV1959,652.52,
30NOV1959,659.18,
01DEC1959,664.38,
02DEC1959,661.29,
03DEC1959,662.96,
04DEC1959,664,
07DEC1959,665.67,
08DEC1959,675.39,
09DEC1959,671.26,
10DEC1959,672.74,
11DEC1959,670.5,
14DEC1959,675.07,
15DEC1959,673.78,
16DEC1959,675.2,
17DEC1959,673.9,
18DEC1959,676.65,
21DEC1959,675.92,
22DEC1959,671.82,
23DEC1959,670.18,
24DEC1959,670.69,
28DEC1959,669.77,
29DEC1959,672.23,
30DEC1959,676.97,
31DEC1959,679.36,
04JAN1960,679.06,
05JAN1960,685.47,
06JAN1960,682.62,
07JAN1960,677.66,
08JAN1960,675.73,
11JAN1960,667.16,
12JAN1960,660.43,
13JAN1960,656.44,
14JAN1960,660.53,
15JAN1960,659.68,
18JAN1960,653.86,
19JAN1960,645.07,
20JAN1960,643.69,
21JAN1960,645.43,
22JAN1960,645.85,
25JAN1960,639.07,
26JAN1960,639.84,
27JAN1960,637.67,
28JAN1960,629.84,
29JAN1960,622.62,
01FEB1960,626.2,
02FEB1960,636.92,
03FEB1960,630.97,
04FEB1960,631.14,
05FEB1960,626.77,
08FEB1960,619.43,
09FEB1960,628.45,
10FEB1960,623.36,
11FEB1960,618.57,
12FEB1960,622.23,
15FEB1960,617.58,
16FEB1960,611.33,
17FEB1960,613.55,
18FEB1960,622.19,
19FEB1960,628.45,
23FEB1960,626.19,
24FEB1960,623.73,
25FEB1960,628.51,
26FEB1960,632,
29FEB1960,630.12,
01MAR1960,626.87,
02MAR1960,621.37,
03MAR1960,612.05,
04MAR1960,609.79,
07MAR1960,604.02,
08MAR1960,599.1,
09MAR1960,607.16,
10MAR1960,602.31,
11MAR1960,605.83,
14MAR1960,606.79,
15MAR1960,612.18,
16MAR1960,616.73,
17MAR1960,615.09,
18MAR1960,616.42,
21MAR1960,617,
22MAR1960,618.09,
23MAR1960,622.06,
24MAR1960,624,
25MAR1960,622.47,
28MAR1960,621.78,
29MAR1960,620.35,
30MAR1960,619.94,
31MAR1960,616.59,
01APR1960,615.98,
04APR1960,618.54,
05APR1960,622.19,
06APR1960,628.31,
07APR1960,629.03,
08APR1960,628.1,
11APR1960,624.89,
12APR1960,626.5,
13APR1960,626.5,
14APR1960,630.12,
18APR1960,630.77,
19APR1960,626.4,
20APR1960,618.71,
21APR1960,619.15,
22APR1960,616.32,
25APR1960,611.13,
26APR1960,610.92,
27APR1960,609.96,
28APR1960,604.33,
29APR1960,601.7,
02MAY1960,599.61,
03MAY1960,607.73,
04MAY1960,610.99,
05MAY1960,608.32,
